year,date,decade,sample_window,headline,abstract,lead_paragraph,snippet,section,news_desk,type_of_material,document_type,word_count,keywords,url
2000,2000-01-01T05:00:00Z,2000s,Jan-Feb,1/1/00: AROUND THE WORLD; Ancient Temple in Tokyo Rings In Just a New Year,,,,World,Foreign Desk,News,article,1058,,https://www.nytimes.com/2000/01/01/world/1-1-00-around-the-world-ancient-temple-in-tokyo-rings-in-just-a-new-year.html
2000,2000-01-01T05:00:00Z,2000s,Jan-Feb,1/1/00: AROUND THE WORLD; Party? What Party? We're Going Shopping,,,,World,Foreign Desk,News,article,406,,https://www.nytimes.com/2000/01/01/world/1-1-00-around-the-world-party-what-party-we-re-going-shopping.html
2000,2000-01-01T05:00:00Z,2000s,Jan-Feb,1/1/00: FROM BALI TO BROADWAY; A Glittering Party For Times Square,,,,New York,Metropolitan Desk,News,article,3178,,https://www.nytimes.com/2000/01/01/nyregion/1-1-00-from-bali-to-broadway-a-glittering-party-for-times-square.html
2000,2000-01-01T05:00:00Z,2000s,Jan-Feb,2000 and Beyond -- The Shape of an Age to Come,Editorial on the legacy that people alive at beginning of the new millennium should leave to succeeding generations,,Editorial on the legacy that people alive at beginning of the new millennium should leave to succeeding generations,Opinion,Editorial Desk,Editorial,article,1708,Editorials; Two Thousand (Year),https://www.nytimes.com/2000/01/01/opinion/2000-and-beyond-the-shape-of-an-age-to-come.html
2000,2000-01-01T05:00:00Z,2000s,Jan-Feb,Digital Artists Draw Support From a New Foundation,"Creative Capital Foundation, set up last January to support experimental arts, will give nearly $100,000 to support several digital-arts projects; grant recipients listed; foundation contributors include Benton, Jerome and Rockefeller foundations (S)",,"Creative Capital Foundation, set up last January to support experimental arts, will give nearly $100,000 to support several digital-arts projects; grant recipients listed; foundation contributors include Benton, Jerome and Rockefeller foundations (S)",Arts,The Arts/Cultural Desk,News,article,671,Benton Foundation; Rockefeller Foundation; Jerome Foundation; Creative Capital Foundation; FOUNDATIONS; Grants (Corporate and Foundation); COMPANY AND ORGANIZATION PROFILES; Culture; Computers and the Internet,https://www.nytimes.com/2000/01/01/arts/digital-artists-draw-support-from-a-new-foundation.html
2000,2000-01-01T05:00:00Z,2000s,Jan-Feb,INTERNATIONAL BUSINESS; Radioactive Waste and Unpaid Bills,"American officials fear that delays in completing waste-water treatment site at Zvezda military shipyard could hurt efforts to reduce nuclear weapons in Russia; Zvezda receives millions of dollars in United States Cooperative Threat Reduction funds to help Russia meet its treaty obligations to dismantle and destroy weapons of mass destruction; work is incomplete almost four years into Japanese-financed project to build liquid radioactive waste treatment facility at Zvezda; American contractor, McDermott International Inc, complains of what it calls intentional delays to inflate bills; it is unclear how Russia even can afford to run treatment site, once it is up and running; Japanese agreed to finance operation, fearing that nuclear waste would be dumped into sea they share with Russia; shipyard's workers, who are owed months of wages, are growing restive, and Zvezda's director refuses to comment on delays; maps (M)",,"American officials fear that delays in completing waste-water treatment site at Zvezda military shipyard could hurt efforts to reduce nuclear weapons in Russia; Zvezda receives millions of dollars in United States Cooperative Threat Reduction funds to help Russia meet its treaty obligations to dismantle and destroy weapons of mass destruction; work is incomplete almost four years into Japanese-financed project to build liquid radioactive waste treatment facility at Zvezda; American contractor, McDermott International Inc, complains of what it calls intentional delays to inflate bills; it is unclear how Russia even can afford to run treatment site, once it is up and running; Japanese agreed to finance operation, fearing that nuclear waste would be dumped into sea they share with Russia; shipyard's workers, who are owed months of wages, are growing restive, and Zvezda's director refuses to comment on delays; maps (M)",Business,Business/Financial Desk,News,article,1461,Japan; Russia; McDermott International Inc; ATOMIC WEAPONS; Nuclear Wastes; Arms Control and Limitation and Disarmament; Foreign Aid; ZVEZDA (RUSSIAN SHIPYARD),https://www.nytimes.com/2000/01/01/business/international-business-radioactive-waste-and-unpaid-bills.html
2000,2000-01-01T05:00:00Z,2000s,Jan-Feb,"REFLECTIONS: CHINA; 'As an Archaeologist, I Have Seen Too Many Destructions'","Lily Yen, 96-year-old retired teacher and homemaker in Shanghai, recalls the terrible upheavals that overtook China in her lifetime; says young people today are materialistic and do not listen; Grace Shen, 21-year-old student, says her generation is not selfish, but wants to take advantages of the new choices they have; photo; chronology of China's history since 1911 (M)",,"Lily Yen, 96-year-old retired teacher and homemaker in Shanghai, recalls the terrible upheavals that overtook China in her lifetime; says young people today are materialistic and do not listen; Grace Shen, 21-year-old student, says her generation is not selfish, but wants to take advantages of the new choices they have; photo; chronology of China's history since 1911 (M)",Archives,The Millennium,Chronology,article,816,"China; Yen, Lily; Shen, Grace; Children and Youth; History",https://www.nytimes.com/2000/01/01/news/reflections-china-as-an-archaeologist-i-have-seen-too-many-destructions.html
2000,2000-01-01T05:00:00Z,2000s,Jan-Feb,"VISIONS: BIOLOGY; In Leading Nations, A Population Bust?","David E Sanger article says the most advanced countries, including Japan, Europe and China, could suffer a sharp population drop in 21st century even as nations now ranked the poorest will continue to grow in population; photo; table (M)",,"David E Sanger article says the most advanced countries, including Japan, Europe and China, could suffer a sharp population drop in 21st century even as nations now ranked the poorest will continue to grow in population; photo; table (M)",Archives,The Millennium,News,article,1111,Japan; Europe; China; Population; Forecasts,https://www.nytimes.com/2000/01/01/news/visions-biology-in-leading-nations-a-population-bust.html
2000,2000-01-01T05:00:00Z,2000s,Jan-Feb,VISIONS: IDENTITY; A Direct Line to God In an Impersonal Era,"Pentecostal movement, which was born in Los Angeles in 1906, has caught on among half a billion people and is likely to continue growing in next century because it is well suited to a world of continual change, of immigration and refugees, of people adrift and yearing for a bit of respect and a sign of hope from God; photos (M)",,"Pentecostal movement, which was born in Los Angeles in 1906, has caught on among half a billion people and is likely to continue growing in next century because it is well suited to a world of continual change, of immigration and refugees, of people adrift and yearing for a bit of respect and a sign of hope from God; photos (M)",Archives,The Millennium,News,article,994,PENTECOSTAL CHURCH; IMMIGRATION AND REFUGEES; Forecasts; Christians and Christianity,https://www.nytimes.com/2000/01/01/news/visions-identity-a-direct-line-to-god-in-an-impersonal-era.html
2000,2000-01-01T05:00:00Z,2000s,Jan-Feb,"VISIONS: POWER; As the 'American Century' Extends Its Run,",R W Apple Jr article on the prospects for America retaining its global power into the new century; maps (M),,R W Apple Jr article on the prospects for America retaining its global power into the new century; maps (M),U.S.,The Millennium,News,article,1121,United States International Relations; Forecasts,https://www.nytimes.com/2000/01/01/washington/visions-power-as-the-american-century-extends-its-run.html
