decade,articles,engagement_prevalence,conflict_prevalence,engagement_mentions,conflict_mentions,conflict_to_engagement_ratio
1990s,389,26.735218508997427,14.910025706940875,288,122,0.42214532871972316
2000s,657,23.59208523592085,16.43835616438356,380,273,0.7165354330708661
2010s,995,19.597989949748744,13.467336683417086,322,257,0.7956656346749226
2020s,508,25.787401574803148,25.787401574803148,222,245,1.0986547085201794
