document_type,articles,total_tokens,opportunity_score,threat_score,competition_score,cooperation_score,positive_framing_score,negative_framing_score,net_framing_score,rivalry_score,engagement_score,rivalry_to_engagement_ratio,economic_score,security_score,technology_score,conflict_score,human_rights_score,securitization_index,conflict_to_engagement_ratio,opportunity_raw,threat_raw,competition_raw,cooperation_raw,economic_raw,security_raw,technology_raw,engagement_raw,conflict_raw,human_rights_raw
Unknown,390,11211,16.574472978331297,12.53620270096233,6.652256237956451,6.600382458354238,23.174855436685533,19.18845893891878,3.986396497766754,19.18845893891878,23.174855436685533,11.651260279266404,31.517156332797775,16.857975884968354,5.992038943419275,9.838598926757454,7.398800605799329,0.35356837606837604,0.22816239316239317,191,130,66,74,372,174,57,99,104,81
article,2144,158174,14.422586867941158,10.178849937423625,3.1699295936427183,7.255040596877437,21.677627464818595,13.348779531066342,8.328847933752254,13.348779531066342,21.677627464818595,5.784584190855061,28.901543755240596,14.671091710280344,4.568409605836681,5.985900279285794,6.5344768885662905,0.7418296678954815,0.2419465476998126,2014,1412,418,1024,3857,2020,580,1113,791,848
interactive,14,575,0.0,4.4110275689223055,0.9523809523809524,0.0,0.0,5.363408521303258,-5.363408521303258,5.363408521303258,0.0,5.363408521303258,0.9523809523809524,2.857142857142857,14.242160278745644,1.9047619047619049,0.0,0.10714285714285714,0.14285714285714285,0,4,1,0,1,3,8,0,2,0
recipe,1,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
