decade,document_type,articles,percent_articles
1990s,article,334,85.8611825192802
1990s,Unknown,55,14.138817480719796
2000s,article,550,83.71385083713851
2000s,Unknown,106,16.13394216133942
2000s,recipe,1,0.15220700152207
2010s,article,853,85.7286432160804
2010s,Unknown,141,14.170854271356784
2010s,interactive,1,0.10050251256281408
2020s,article,407,80.11811023622047
2020s,Unknown,88,17.322834645669293
2020s,interactive,13,2.559055118110236
