decade,articles,total_tokens,opportunity_score,threat_score,competition_score,cooperation_score,positive_framing_score,negative_framing_score,net_framing_score,rivalry_score,engagement_score,rivalry_to_engagement_ratio,economic_score,security_score,technology_score,conflict_score,human_rights_score,securitization_index,conflict_to_engagement_ratio,opportunity_raw,threat_raw,competition_raw,cooperation_raw,economic_raw,security_raw,technology_raw,engagement_raw,conflict_raw,human_rights_raw
1990s,389,35043,13.761095000729021,7.422177790606388,3.113092651971718,8.711791788124446,22.472886788853472,10.535270442578106,11.937616346275362,10.535270442578106,22.472886788853472,5.570684482683362,22.007931723880436,11.203753493222424,2.626478289162212,5.001622416692486,8.926834699682042,0.5267048004837207,0.21620900521928801,396,206,78,249,631,276,69,288,122,231
2000s,657,67243,14.884140653399585,9.958026691602003,2.9537473333359405,6.21175757367663,21.095898227076216,12.911774024937941,8.184124202138273,12.911774024937941,21.095898227076216,6.580117151275106,28.18562269197151,14.806784802257596,3.263700397041571,5.420217350046973,5.386329252555851,0.9174736293611551,0.26865550481988837,825,531,138,336,1502,779,166,380,273,233
2010s,995,43708,15.945237469292035,9.563729407509904,3.6565249018963653,6.694784652638503,22.64002212193054,13.220254309406267,9.41976781252427,13.220254309406267,22.64002212193054,6.229252605328123,33.47418023300406,14.250502647212025,5.174878730278612,6.112881174420488,7.640176735646449,0.5405679189598788,0.19447236180904523,674,432,150,306,1414,652,223,322,257,356
2020s,508,24031,12.576009960437709,15.410957180660862,5.1460531454739025,7.869357751185261,20.44536771162297,20.557010326134765,-0.11164261451179358,20.557010326134765,20.44536771162297,8.529504249906179,27.330876443516694,19.29894363003147,7.905511958232616,10.056023148165734,4.492357906051457,0.7565768767540421,0.30630858642669667,310,377,119,207,683,490,187,222,245,109
