decade,articles,technology_only_articles,technology_economy_articles,technology_security_articles,technology_economy_security_articles,percent_technology_only,percent_technology_economy,percent_technology_security,percent_technology_economy_security
1990s,389,3,16,14,4,0.7712082262210797,4.113110539845758,3.5989717223650386,1.0282776349614395
2000s,657,13,30,16,7,1.97869101978691,4.5662100456621,2.43531202435312,1.06544901065449
2010s,995,41,60,22,12,4.1206030150753765,6.030150753768844,2.21105527638191,1.2060301507537687
2020s,508,12,56,34,19,2.3622047244094486,11.023622047244094,6.692913385826772,3.740157480314961
