year,type_of_material,articles,percent_articles
2022,Live Blog Post,1,2.1739130434782608
2023,News,65,73.03370786516854
2023,Unknown,14,15.730337078651685
2023,Op-Ed,5,5.617977528089887
2023,Interactive Feature,4,4.49438202247191
2023,Live Blog Post,1,1.1235955056179776
2024,News,67,69.0721649484536
2024,Unknown,15,15.463917525773196
2024,Op-Ed,8,8.24742268041237
2024,Interactive Feature,6,6.185567010309279
2024,News Analysis,1,1.0309278350515463
2025,News,73,73.73737373737373
2025,Unknown,13,13.131313131313133
2025,Op-Ed,9,9.090909090909092
2025,News Analysis,2,2.0202020202020203
2025,Interactive Feature,1,1.0101010101010102
2025,Editorial,1,1.0101010101010102
