decade,articles,engagement_prevalence,conflict_prevalence,engagement_mentions,conflict_mentions,conflict_to_engagement_ratio
1990s,389,26.735218508997427,14.910025706940875,288,122,0.42214532871972316
2000s,389,21.59383033419023,14.395886889460154,203,139,0.6813725490196079
2010s,389,18.251928020565554,14.138817480719796,117,106,0.8983050847457628
2020s,389,26.221079691516707,24.67866323907455,182,169,0.9234972677595629
