decade,articles,technology_only_articles,technology_economy_articles,technology_security_articles,technology_economy_security_articles,percent_technology_only,percent_technology_economy,percent_technology_security,percent_technology_economy_security
1990s,389,3,16,14,4,0.7712082262210797,4.113110539845758,3.5989717223650386,1.0282776349614395
2000s,389,10,17,6,2,2.570694087403599,4.370179948586118,1.5424164524421593,0.5141388174807198
2010s,389,20,28,10,6,5.141388174807198,7.197943444730077,2.570694087403599,1.5424164524421593
2020s,389,7,42,30,15,1.7994858611825193,10.796915167095115,7.712082262210797,3.8560411311053984
