decade,articles,total_tokens,opportunity_score,threat_score,competition_score,cooperation_score,positive_framing_score,negative_framing_score,net_framing_score,rivalry_score,engagement_score,rivalry_to_engagement_ratio,economic_score,security_score,technology_score,conflict_score,human_rights_score,securitization_index,conflict_to_engagement_ratio,opportunity_raw,threat_raw,competition_raw,cooperation_raw,economic_raw,security_raw,technology_raw,engagement_raw,conflict_raw,human_rights_raw
1990s,389,35043,13.761095000729021,7.422177790606388,3.113092651971718,8.711791788124446,22.472886788853472,10.535270442578106,11.937616346275362,10.535270442578106,22.472886788853472,5.570684482683362,22.007931723880436,11.203753493222424,2.626478289162212,5.001622416692486,8.926834699682042,0.5267048004837207,0.21620900521928801,396,206,78,249,631,276,69,288,122,231
2000s,389,28818,14.805949327380358,9.637310304633527,3.0851984716189507,6.3743142259671925,21.18026355334755,12.722508776252477,8.457754777095072,12.722508776252477,21.18026355334755,6.756095983660461,28.255814901605895,14.632080714153824,3.3810038411633214,5.218090200761548,6.4282590749659745,0.8417454011284345,0.24224507283633248,467,286,78,182,861,417,90,203,139,145
2010s,389,17154,17.216180912692995,10.304827840759508,3.8465259755472934,5.964435061354595,23.18061597404759,14.1513538163068,9.029262157740789,14.1513538163068,23.18061597404759,6.811743019778086,35.11762245963411,15.719561579248042,6.09072509664119,6.809725251958772,7.438525443490496,0.5911698698331089,0.19880034275921163,289,187,56,109,586,284,103,117,106,131
2020s,389,18265,13.446322705688077,14.716850538498,4.612089101349131,8.563516482500036,22.009839188188117,19.328939639847132,2.6808995483409843,19.328939639847132,22.009839188188117,8.316296767749645,28.64803427273875,18.837504854972885,7.544416312534628,9.152658477227638,3.7323746409902365,0.7532332135159899,0.2697637409719672,252,273,80,170,552,363,135,182,169,68
