year,articles,total_tokens,opportunity_score,threat_score,competition_score,cooperation_score,positive_framing_score,negative_framing_score,net_framing_score,rivalry_score,engagement_score,rivalry_to_engagement_ratio,economic_score,security_score,technology_score,conflict_score,human_rights_score,securitization_index,conflict_to_engagement_ratio,opportunity_raw,threat_raw,competition_raw,cooperation_raw,economic_raw,security_raw,technology_raw,engagement_raw,conflict_raw,human_rights_raw
2000,60,4667,11.898040123186368,11.28193041850371,1.760737491316746,10.272793900351038,22.170834023537406,13.042667909820457,9.128166113716949,13.042667909820457,22.170834023537406,5.361138587007433,16.821143347149643,24.564529710178252,5.841962577834748,3.219687994983844,10.726017721948919,1.585218253968254,0.19694444444444445,52,61,10,47,84,123,28,48,19,47
2001,33,2215,14.480447536470484,12.854784920848466,1.6824911782894976,6.681348751684103,21.161796288154587,14.537276099137964,6.624520189016624,14.537276099137964,21.161796288154587,5.919550311799711,15.802156301385278,19.176375081626443,0.7452824389944065,1.555633908575085,6.864523498655594,1.2424242424242424,0.12121212121212122,26,32,4,10,28,44,3,10,5,9
2002,49,5218,18.49685589552185,6.284945214283655,1.8872041817609522,5.760200418175198,24.257056313697046,8.172149396044606,16.084906917652443,8.172149396044606,24.257056313697046,2.8632086980106566,32.11323924312318,6.980388988579134,1.2974340637268236,2.6905099876458833,2.6832426444990882,0.38976499690785404,0.23979591836734693,105,39,17,26,193,40,6,33,21,15
2003,57,4623,14.80697674603531,10.077690623427399,2.685432986196884,8.56548623230417,23.372462978339485,12.763123609624282,10.6093393687152,12.763123609624282,23.372462978339485,7.3503102218380265,34.921364958345045,13.104696726898542,2.7745248909862577,3.957719393271482,6.590123580970263,0.8900584795321638,0.12280701754385964,96,36,10,45,193,55,18,47,15,23
2004,47,3939,10.246006777685212,8.184694470385661,2.6579387219766946,2.869135293177533,13.115142070862744,10.842633192362356,2.2725088785003877,10.842633192362356,13.115142070862744,8.624849468688899,17.813247278350435,16.67614923434974,2.5973322948939592,5.043113399751893,5.29381792295194,0.9052684903748734,0.20567375886524822,52,33,6,16,79,49,11,23,15,19
2005,38,3625,26.997191820355606,7.578647666867698,4.687499133759844,5.9509946830564315,32.94818650341204,12.266146800627542,20.682039702784493,12.266146800627542,32.94818650341204,3.501402272018487,46.385800269690414,11.583773370378697,0.7412898443291327,8.84082341244943,0.48848379616511883,0.856046365914787,0.6776315789473685,78,37,13,14,153,51,2,17,32,3
2006,26,1433,6.426706742869443,13.744087606298054,2.331002331002331,5.808925004327302,12.235631747196747,16.075089937300387,-3.83945819010364,16.075089937300387,12.235631747196747,8.715990402239136,23.17038856398745,18.764218174674237,0.6203473945409429,11.268425678881739,6.445568549961559,0.6634615384615384,0.2980769230769231,11,18,2,7,26,21,1,8,12,7
2007,22,844,21.045214368195733,9.814359814359813,5.537752290999044,6.232788998961505,27.27800336715724,15.352112105358858,11.92589126179838,15.352112105358858,27.27800336715724,8.872679343651566,31.603639212334862,14.730852656872493,0.0,6.536685108113679,3.0303030303030307,0.5757575757575757,0.18181818181818182,19,9,5,7,27,14,0,7,6,3
2008,21,873,10.67527774844848,11.273448773448774,7.2068852556657435,4.408193432583676,15.083471181032156,18.480334029114516,-3.39686284808236,18.480334029114516,15.083471181032156,11.122085016603895,37.679023749154965,11.731324231324232,0.7440476190476191,5.6887556887556885,0.0,0.42857142857142855,0.16666666666666666,10,11,6,4,30,11,1,4,5,0
2009,36,1381,12.65855463873945,7.8534841832714175,4.350104821802935,3.6266924564796903,16.285247095219137,12.203589005074353,4.081658090144788,12.203589005074353,16.285247095219137,9.945646126513294,33.551472667035995,5.941995046903151,14.899404637339252,8.296312934677713,17.271200891520866,0.20833333333333334,0.25,18,10,5,6,48,9,20,6,9,19
2010,41,1545,25.951863851599565,7.023729187037777,3.035020679026906,3.355145746579417,29.307009598178983,10.058749866064682,19.248259732114303,10.058749866064682,29.307009598178983,3.274832029751944,48.03867197355477,8.730865992330441,11.24298929522841,6.854230807887088,8.313213827529841,0.24390243902439024,0.2682926829268293,39,10,5,6,76,12,17,8,11,12
2011,34,1298,16.84293012399851,2.759437108176604,12.303941822741296,4.128277382994364,20.971207506992872,15.0633789309179,5.907828576074973,15.0633789309179,20.971207506992872,8.210854358892691,40.0828566261853,15.281719740186157,10.245140709069924,13.524588184052618,9.02818337736986,0.3906862745098039,0.38235294117647056,21,5,12,5,48,16,14,5,13,13
